latitude,longitude,postcode_sector
57.040138,-5.6947899,PH41 4
57.278568,-5.5655799,IV40 8
57.227058,-3.8164001,PH22 1
57.191689,-3.82899,PH22 1
57.56739,-4.1721902,IV9 8
55.933811,-3.7448201,FK1 2
55.458241,-4.6290302,KA7 2
60.220879,-1.48532,ZE2 9
55.842319,-2.1228499,TD14 5
55.846649,-2.12135,TD14 5
60.560169,-1.03269,ZE2 9
