average_price,difference_actual_pred_price,postcode_sector
38.98,-7.6900001,EH9 2B
38.98,-7.6900001,EH9 3H
38.98,-7.6900001,EH91 5
38.98,-7.6900001,EH95 1
38.98,-7.6900001,EH99 1
38.98,-7.8800001,FK1 1L
38.98,-8.5100002,FK1 2D
38.98,-8.5100002,FK1 3H
38.98,-7.8800001,FK1 4L
38.98,-7.8800001,FK1 5N
38.98,-7.8800001,FK1 9S
38.98,-7.8800001,FK10 1
38.98,-7.8800001,FK10 2
38.98,-7.8800001,FK10 3
38.98,-8.3400002,FK10 4
38.98,-8.5100002,FK11 7
38.98,-8.3400002,FK12 5
38.98,-8.3400002,FK13 6
38.98,-8.5100002,FK14 7
38.98,-8.3400002,FK15 0
38.98,-8.3400002,FK15 9
38.98,-8.5100002,FK16 6
71.730003,24.42,FK17 8
71.730003,20.635,FK18 8
71.730003,20.635,FK19 8
38.98,-7.8800001,FK2 0A
38.98,-7.8800001,FK2 7E
38.98,-7.8800001,FK2 8A
38.98,-7.8800001,FK2 9B
71.730003,20.635,FK20 8
71.730003,13.19,FK21 8
38.98,-7.8800001,FK3 0A
38.98,-7.8800001,FK3 8H
38.98,-7.8800001,FK3 9D
38.98,-7.8800001,FK4 1R
38.98,-8.5100002,FK4 2F
38.98,-7.8800001,FK5 3N
38.98,-7.8800001,FK5 4Q
38.98,-7.8800001,FK6 5J
38.98,-7.8800001,FK6 6P
38.98,-7.8800001,FK7 0L
38.98,-8.5100002,FK7 7H
38.98,-8.5100002,FK7 8A
38.98,-7.8800001,FK7 9J
38.98,-7.8800001,FK8 1X
38.98,-7.8800001,FK8 2A
38.98,-8.5100002,FK8 3B
38.98,-7.8800001,FK9 4Q
38.98,-7.8800001,FK9 5H
38.98,-7.6900001,G1 1RF
38.98,-7.6900001,G1 2SD
38.98,-7.6900001,G1 3HF
38.98,-7.6900001,G1 4NN
38.98,-7.6900001,G1 5QA
38.98,-7.6900001,G11 5P
38.98,-7.6900001,G11 6R
38.98,-7.6900001,G11 7P
38.98,-7.6900001,G11 9F
38.98,-7.6900001,G12 0R
38.98,-7.6900001,G12 8T
38.98,-7.6900001,G12 9X
38.98,-7.6900001,G13 1U
38.98,-7.6900001,G13 2Y
38.98,-7.6900001,G13 3Q
38.98,-7.6900001,G13 4N
38.98,-7.6900001,G14 0B
38.98,-7.6900001,G14 9X
38.98,-7.6900001,G15 6R
38.98,-7.6900001,G15 7N
38.98,-7.6900001,G15 8S
38.98,-7.6900001,G2 1BA
38.98,-7.6900001,G2 3LG
38.98,-7.6900001,G2 4SQ
38.98,-7.6900001,G2 5AP
38.98,-7.6900001,G2 6XU
38.98,-7.6900001,G2 7JD
38.98,-7.6900001,G2 8LR
38.98,-7.6900001,G20 0J
38.98,-7.6900001,G20 6N
38.98,-7.6900001,G20 7A
38.98,-7.6900001,G20 8H
38.98,-7.6900001,G20 9R
38.98,-7.6900001,G21 1S
38.98,-7.6900001,G21 2B
38.98,-7.6900001,G21 3P
38.98,-7.6900001,G21 4Q
38.98,-7.6900001,G22 5A
38.98,-7.6900001,G22 6J
38.98,-7.6900001,G22 7B
38.98,-7.6900001,G23 5N
38.98,-7.6900001,G3 6JP
38.98,-7.6900001,G3 7HW
38.98,-7.6900001,G3 8SN
38.98,-7.6900001,G31 1R
38.98,-7.6900001,G31 2B
38.98,-7.6900001,G31 3E
38.98,-7.6900001,G31 4P
38.98,-7.6900001,G31 5E
38.98,-7.6900001,G32 0Q
38.98,-7.6900001,G32 2A
38.98,-7.6900001,G32 6P
38.98,-7.6900001,G32 7X
38.98,-7.6900001,G32 8L
38.98,-7.6900001,G32 9L
38.98,-7.6900001,G33 1J
38.98,-7.6900001,G33 2P
38.98,-7.6900001,G33 3J
38.98,-7.6900001,G33 4T
38.98,-7.6900001,G33 5P
38.98,-7.6900001,G33 6B
38.98,-7.6900001,G34 0D
38.98,-7.6900001,G34 9B
38.98,-7.6900001,G4 0UE
38.98,-7.6900001,G4 9XF
38.98,-7.6900001,G40 1A
38.98,-7.6900001,G40 2J
38.98,-7.6900001,G40 3Y
38.98,-7.6900001,G40 4A
38.98,-7.6900001,G41 1A
38.98,-7.6900001,G41 2N
38.98,-7.6900001,G41 3H
38.98,-7.6900001,G41 4B
38.98,-7.6900001,G41 5S
38.98,-7.6900001,G42 0E
38.98,-7.6900001,G42 7R
38.98,-7.6900001,G42 8R
38.98,-7.6900001,G42 9X
38.98,-7.6900001,G43 1B
38.98,-7.6900001,G43 2J
38.98,-7.6900001,G44 3N
38.98,-7.6900001,G44 4D
38.98,-7.6900001,G44 5L
38.98,-7.6900001,G44 9B
38.98,-7.6900001,G45 0A
38.98,-7.6900001,G45 9T
38.98,-7.6900001,G46 6D
38.98,-7.6900001,G46 7B
38.98,-7.6900001,G46 8T
