Average_price,postcode_sector
38.98,G71 8S
38.98,G71 9A
38.98,G72 0D
38.98,G72 6W
38.98,G72 7J
38.98,G72 8N
38.98,G72 9L
38.98,G73 1D
38.98,G73 2D
38.98,G73 3A
38.98,G73 4P
38.98,G73 5L
38.98,G74 1J
38.98,G74 2D
38.98,G74 3P
38.98,G74 4Q
38.98,G74 5E
38.98,G75 0Q
38.98,G75 8D
38.98,G75 9H
38.98,G76 0A
38.98,G76 6A
38.98,G76 7X
38.98,G76 8D
38.98,G76 9D
38.98,G77 5F
38.98,G77 6P
38.98,G78 1D
38.98,G78 2A
38.98,G78 3N
38.98,G78 4B
38.98,G79 1A
38.98,G81 1Y
38.98,G81 2H
38.98,G81 3B
38.98,G81 4Q
38.98,G81 5B
38.98,G81 6N
38.98,G82 1S
38.98,G82 2H
38.98,G82 3B
38.98,G82 4L
38.98,G82 5P
38.98,G82 9S
38.98,G83 0B
38.98,G83 7B
38.98,G83 8S
38.98,G83 9N
38.98,G84 0F
38.98,G84 7N
38.98,G84 8D
38.98,G84 9Q
38.98,G90 8A
71.73,HS1 2S
71.73,HS1 9A
71.73,HS2 0D
71.73,HS2 9P
71.73,HS3 3B
71.73,HS4 3Y
71.73,HS5 3U
71.73,HS6 5B
71.73,HS7 5Q
71.73,HS8 5S
71.73,HS9 5X
71.73,IV1 1U
71.73,IV1 3X
71.73,IV10 8
71.73,IV11 8
71.73,IV12 4
71.73,IV12 5
71.73,IV13 7
71.73,IV14 9
71.73,IV15 9
71.73,IV16 9
71.73,IV17 0
71.73,IV18 0
71.73,IV19 1
71.73,IV2 3N
71.73,IV2 4N
71.73,IV2 5T
71.73,IV2 6X
71.73,IV2 7S
71.73,IV20 1
71.73,IV21 2
71.73,IV22 2
71.73,IV23 2
71.73,IV24 3
71.73,IV25 3
71.73,IV26 2
71.73,IV27 4
71.73,IV27 9
71.73,IV28 3
71.73,IV3 5E
71.73,IV3 8R
71.73,IV30 1
71.73,IV30 4
71.73,IV30 5
71.73,IV30 6
71.73,IV30 8
71.73,IV30 9
71.73,IV31 6
71.73,IV32 7
71.73,IV36 1
71.73,IV36 2
71.73,IV36 3
71.73,IV4 7L
71.73,IV40 8
71.73,IV41 8
71.73,IV42 8
71.73,IV43 8
71.73,IV44 8
71.73,IV45 8
71.73,IV46 8
71.73,IV47 8
71.73,IV48 8
71.73,IV49 9
71.73,IV5 7P
71.73,IV51 9
71.73,IV52 8
71.73,IV53 8
71.73,IV54 8
71.73,IV55 8
71.73,IV56 8
71.73,IV6 7R
71.73,IV63 6
71.73,IV63 7
71.73,IV7 8L
71.73,IV8 8N
71.73,IV9 8R
71.73,IV99 1
38.98,KA1 1B
38.98,KA1 2E
38.98,KA1 3Q
38.98,KA1 4D
38.98,KA1 5H
38.98,KA10 6
38.98,KA10 7
38.98,KA11 1
38.98,KA11 2
38.98,KA11 3
38.98,KA11 4
38.98,KA11 5
38.98,KA12 0
38.98,KA12 2
38.98,KA12 8
38.98,KA12 9
38.98,KA13 6
38.98,KA13 7
38.98,KA14 3
38.98,KA15 1
38.98,KA15 2
38.98,KA15 9
38.98,KA16 9
38.98,KA17 0
38.98,KA18 1
38.98,KA18 2
38.98,KA18 3
38.98,KA18 4
38.98,KA19 7
38.98,KA19 8
38.98,KA2 0L
38.98,KA2 9E
38.98,KA20 3
38.98,KA20 4
38.98,KA21 5
38.98,KA21 6
38.98,KA22 7
38.98,KA22 8
38.98,KA23 9
38.98,KA24 4
38.98,KA24 5
38.98,KA25 6
38.98,KA25 7
38.98,KA26 0
38.98,KA26 9
71.73,KA27 8
71.73,KA28 0
38.98,KA29 0
38.98,KA3 1L
38.98,KA3 2T
38.98,KA3 3D
38.98,KA3 4A
38.98,KA3 5E
38.98,KA3 6F
38.98,KA3 7H
38.98,KA30 0
38.98,KA30 8
38.98,KA30 9
38.98,KA4 8D
38.98,KA5 5D
38.98,KA5 6W
38.98,KA6 5B
38.98,KA6 6A
38.98,KA6 7P
38.98,KA7 1D
38.98,KA7 2X
38.98,KA7 3J
38.98,KA7 4Q
38.98,KA8 0L
38.98,KA8 8D
38.98,KA8 9H
38.98,KA9 1D
38.98,KA9 2E
71.73,KW1 4B
71.73,KW1 5A
71.73,KW10 6
71.73,KW11 6
71.73,KW12 6
71.73,KW13 6
71.73,KW14 7
71.73,KW14 8
71.73,KW15 1
71.73,KW16 3
71.73,KW16 9
71.73,KW17 2
71.73,KW2 6A
71.73,KW3 6A
71.73,KW5 6D
71.73,KW6 6E
71.73,KW7 6H
71.73,KW8 6H
71.73,KW9 6Q
38.98,KY1 1P
38.98,KY1 2Q
38.98,KY1 3J
38.98,KY1 4R
38.98,KY10 2
38.98,KY10 3
38.98,KY11 1
38.98,KY11 2
38.98,KY11 3
38.98,KY11 4
38.98,KY11 7
38.98,KY11 8
38.98,KY11 9
38.98,KY12 0
38.98,KY12 7
38.98,KY12 8
38.98,KY12 9
38.98,KY13 0
38.98,KY13 3
38.98,KY13 8
38.98,KY13 9
38.98,KY14 6
38.98,KY14 7
38.98,KY15 4
38.98,KY15 5
38.98,KY15 7
38.98,KY15 9
38.98,KY16 0
38.98,KY16 8
38.98,KY16 9
38.98,KY2 5E
38.98,KY2 6X
38.98,KY3 0J
38.98,KY3 9R
38.98,KY4 0F
38.98,KY4 8A
38.98,KY4 9Q
38.98,KY5 0X
38.98,KY5 8L
38.98,KY5 9A
38.98,KY6 1J
38.98,KY6 2B
38.98,KY6 3E
38.98,KY7 4E
38.98,KY7 5D
38.98,KY7 6F
38.98,KY7 9U
38.98,KY8 1L
38.98,KY8 2J
38.98,KY8 3B
38.98,KY8 4D
38.98,KY8 5N
38.98,KY8 6B
38.98,KY9 1A
38.98,KY99 0
38.98,KY99 1
38.98,KY99 2
38.98,KY99 3
38.98,KY99 5
38.98,KY99 6
38.98,KY99 7
38.98,KY99 8
38.98,KY99 9
38.98,ML1 1N
38.98,ML1 2H
38.98,ML1 3D
38.98,ML1 4H
38.98,ML1 5F
38.98,ML1 9W
38.98,ML10 6
38.98,ML11 0
38.98,ML11 7
38.98,ML11 8
38.98,ML11 9
38.98,ML12 6
38.98,ML2 0B
38.98,ML2 7N
38.98,ML2 8D
38.98,ML2 9A
38.98,ML3 0J
38.98,ML3 6J
38.98,ML3 7X
38.98,ML3 8R
38.98,ML3 9T
38.98,ML4 1N
38.98,ML4 2R
38.98,ML4 3P
38.98,ML5 1R
38.98,ML5 2L
38.98,ML5 3A
38.98,ML5 4H
38.98,ML5 5R
38.98,ML5 9A
38.98,ML6 0E
38.98,ML6 6A
38.98,ML6 7U
38.98,ML6 8Q
38.98,ML6 9P
38.98,ML7 4E
38.98,ML7 5P
38.98,ML7 9A
38.98,ML8 4N
38.98,ML8 5H
38.98,ML9 1A
38.98,ML9 2D
38.98,ML9 3D
38.98,PA1 1L
38.98,PA1 2S
38.98,PA1 3B
38.98,PA10 2
38.98,PA11 3
38.98,PA12 4
38.98,PA13 4
38.98,PA14 5
38.98,PA14 6
38.98,PA15 1
38.98,PA15 2
38.98,PA15 3
38.98,PA15 4
38.98,PA16 0
38.98,PA16 7
38.98,PA16 8
38.98,PA16 9
38.98,PA17 5
38.98,PA18 6
38.98,PA19 1
38.98,PA2 0D
38.98,PA2 6L
38.98,PA2 7A
38.98,PA2 8U
38.98,PA2 9L
71.73,PA20 0
71.73,PA20 2
71.73,PA20 9
71.73,PA21 2
71.73,PA22 3
71.73,PA23 7
71.73,PA23 8
71.73,PA24 8
71.73,PA25 8
71.73,PA26 8
71.73,PA27 8
71.73,PA28 6
71.73,PA29 6
38.98,PA3 1B
38.98,PA3 2J
38.98,PA3 3L
38.98,PA3 4B
38.98,PA3 9T
71.73,PA30 8
71.73,PA31 8
71.73,PA31 9
71.73,PA32 8
71.73,PA33 1
71.73,PA34 4
71.73,PA34 5
71.73,PA34 9
71.73,PA35 1
71.73,PA36 4
71.73,PA37 1
71.73,PA38 4
38.98,PA4 0J
38.98,PA4 4A
38.98,PA4 8T
38.98,PA4 9A
71.73,PA41 7
71.73,PA42 7
71.73,PA43 7
71.73,PA44 7
71.73,PA45 7
71.73,PA46 7
71.73,PA47 7
71.73,PA48 7
71.73,PA49 7
38.98,PA5 0A
38.98,PA5 8E
38.98,PA5 9H
38.98,PA6 7L
71.73,PA60 7
71.73,PA61 7
71.73,PA62 6
71.73,PA63 6
71.73,PA64 6
71.73,PA65 6
71.73,PA66 6
71.73,PA67 6
71.73,PA68 6
71.73,PA69 6
38.98,PA7 5Q
38.98,PA7 9A
71.73,PA70 6
71.73,PA71 6
71.73,PA72 6
71.73,PA73 6
71.73,PA74 6
71.73,PA75 6
71.73,PA76 6
71.73,PA77 6
71.73,PA78 6
38.98,PA8 6H
38.98,PA8 7E
38.98,PA8 9A
71.73,PA80 5
38.98,PA9 1B
38.98,PH1 1N
38.98,PH1 2Q
38.98,PH1 3S
38.98,PH1 4D
38.98,PH1 5J
38.98,PH10 6
38.98,PH10 7
38.98,PH11 8
38.98,PH12 8
38.98,PH13 9
38.98,PH14 9
62,PH15 2
38.98,PH16 5
38.98,PH17 2
38.98,PH18 5
71.73,PH19 1
38.98,PH2 0R
38.98,PH2 6L
38.98,PH2 7Q
38.98,PH2 8D
38.98,PH2 9Q
71.73,PH20 1
71.73,PH21 1
71.73,PH22 1
71.73,PH23 3
71.73,PH24 3
71.73,PH25 3
71.73,PH26 3
71.73,PH26 9
38.98,PH3 1J
71.73,PH30 4
71.73,PH31 4
71.73,PH32 4
71.73,PH33 6
71.73,PH33 7
71.73,PH34 4
71.73,PH35 4
71.73,PH36 4
71.73,PH37 4
71.73,PH38 4
71.73,PH39 4
38.98,PH4 1P
71.73,PH40 4
81.45999999999999,PH41 2
71.73,PH41 4
71.73,PH42 4
71.73,PH43 4
71.73,PH49 4
38.98,PH5 2A
71.73,PH50 4
38.98,PH6 2N
38.98,PH7 3L
38.98,PH7 4A
38.98,PH8 0E
38.98,PH9 0N
38.98,TD1 1E
38.98,TD1 2S
38.98,TD1 3S
38.98,TD10 6
38.98,TD11 3
38.98,TD12 4
38.98,TD13 5
38.98,TD14 5
38.98,TD15 1
38.98,TD2 6R
38.98,TD3 6J
38.98,TD4 6D
38.98,TD5 7H
38.98,TD5 8Q
38.98,TD6 0D
38.98,TD6 6S
38.98,TD6 9D
38.98,TD7 4L
